finished,participantcode,sessioncode,id_in_group,playertreatment_punish,playertreatment,contribution,punish_1,punish_2,punish_3,punish_used,punish_received,belief_punish_1,belief_punish_2,belief_punish_3,belief_punish,belief_contribution,contribution_others,payoff_bonus_1,payoff_bonus_2,payoff_fixed,payoff_total,points_1,points_2,punish_points_received,gender,age,language,income_max,trust,risk,instruction,econ_exp,group_contributions,share_total,group_payoff
complete,7k3g061l,obdhurzz,1,punish,real,20,,0,0,0,0,,0,-2,-2,40,23,1.0700001,1.0700001,1.1,2.1700001,21.5,21.5,0,1,27,2,5,1,9,4,2,43,21.5,81.5
complete,eueb2faf,obdhurzz,2,punish,real,20,0,,0,0,0,0,,0,0,40,23,1.0700001,1.0700001,1.1,2.1700001,21.5,21.5,0,1,25,2,1,2,9,2,2,43,21.5,81.5
complete,ua358eok,obdhurzz,3,punish,real,3,0,0,,0,0,0,0,,0,19,40,1.9299999,1.9299999,1.1,3.03,38.5,38.5,0,1,21,2,1,2,10,2,3,43,21.5,81.5
complete,mk0oknae,obdhurzz,1,punish,hypothetical,10,,-10,-6,-16,0,,-7,-7,-14,15,10,1,.2,1.1,1.1,20,4,0,1,32,2,2,2,5,3,5,20,10,70
complete,yr7ld5vp,obdhurzz,2,punish,hypothetical,0,0,,0,0,-18,-3,,-3,-6,10,20,1.5,0,1.1,1.1,30,0,-54,1,19,2,1,1,6,4,4,20,10,70
complete,up4ff50g,obdhurzz,3,punish,hypothetical,10,0,-8,,-8,-6,-5,0,,-5,20,10,1,-.30000001,1.1,1.1,20,-6,-18,1,26,2,2,2,3,2,4,20,10,70
complete,n5bzw2ba,obdhurzz,1,punish,hypothetical,1,,-2,-2,-4,-3,,-4,-9,-13,10,15,1.35,.69999999,1.1,1.1,27,14,-9,1,22,1,3,2,7,3,1,16,8,68
complete,ogng6lmu,obdhurzz,2,punish,hypothetical,5,-3,,-1,-4,-7,-5,,0,-5,10,11,1.15,-.1,1.1,1.1,23,-2,-21,1,26,2,1,2,9,2,4,16,8,68
complete,nqpxwlgr,obdhurzz,3,punish,hypothetical,10,0,-5,,-5,-3,0,0,,0,20,6,.89999998,.2,1.1,1.1,18,4,-9,1,20,2,1,2,10,5,0,16,8,68
complete,3grqyv72,obdhurzz,1,punish,hypothetical,15,,-2,-2,-4,-1,,-2,-2,-4,30,30,1.38,1.03,1.1,1.1,27.5,20.5,-3,1,27,2,2,2,8,3,1,45,22.5,82.5
complete,ngtvv83p,obdhurzz,2,punish,hypothetical,20,0,,0,0,-2,0,,0,0,20,25,1.13,.82999998,1.1,1.1,22.5,16.5,-6,1,31,2,3,2,7,2,5,45,22.5,82.5
complete,d72hrf27,obdhurzz,3,punish,hypothetical,10,-1,0,,-1,-2,-5,-5,,-10,20,35,1.63,1.28,1.1,1.1,32.5,25.5,-6,2,19,2,2,2,3,3,2,45,22.5,82.5
complete,n2ng0sja,obdhurzz,1,punish,hypothetical,4,,0,0,0,-4,,-1,-1,-2,8,20,1.4,.80000001,1.1,1.1,28,16,-12,1,24,2,2,2,3,2,2,24,12,72
complete,oitooz7s,obdhurzz,2,punish,hypothetical,10,-1,,0,-1,0,0,,0,0,20,14,1.1,1.05,1.1,1.1,22,21,0,2,39,2,3,2,3,4,3,24,12,72
complete,o2fzsgmj,obdhurzz,3,punish,hypothetical,10,-3,0,,-3,0,-5,0,,-5,20,14,1.1,.94999999,1.1,1.1,22,19,0,1,20,2,2,1,9,4,2,24,12,72
complete,krydyo3u,obdhurzz,1,punish,hypothetical,0,,-10,0,-10,-1,,-2,-10,-12,30,23,1.58,.93000001,1.1,1.1,31.5,18.5,-3,1,25,2,3,2,6,4,10,23,11.5,71.5
complete,iofz6q8y,obdhurzz,2,punish,hypothetical,8,-1,,-1,-2,-10,-1,,-1,-2,27,15,1.1799999,-.1,1.1,1.1,23.5,-2,-30,1,41,2,2,2,7,2,1,23,11.5,71.5
complete,kkxsa6hf,obdhurzz,3,punish,hypothetical,15,0,0,,0,-1,-3,-1,,-4,20,8,.82999998,.68000001,1.1,1.1,16.5,13.5,-3,1,21,2,5,2,7,4,15,23,11.5,71.5
complete,prsdzcxn,obdhurzz,1,punish,real,3,,0,0,0,-3,,-4,-2,-6,10,13,1.25,.80000001,1.1,1.9,25,16,-9,2,29,2,1,2,3,3,1,16,8,68
complete,dxu9cp3s,obdhurzz,2,punish,real,8,-2,,-1,-3,-1,-1,,-2,-3,20,8,1,.69999999,1.1,1.8,20,14,-3,1,23,2,2,2,8,4,5,16,8,68
complete,jciv0pqz,obdhurzz,3,punish,real,5,-1,-1,,-2,-1,-5,-3,,-8,10,11,1.15,.89999998,1.1,2,23,18,-3,2,23,1,1,2,8,3,7,16,8,68
complete,lhq2jrzz,obdhurzz,1,punish,real,4,,0,0,0,0,,0,0,0,10,20,1.4,1.4,1.1,2.5,28,28,0,1,23,2,1,2,8,4,1,24,12,72
complete,9fvazwai,obdhurzz,2,punish,real,20,0,,0,0,0,0,,0,0,40,4,.60000002,.60000002,1.1,1.7,12,12,0,1,36,2,2,2,2,3,2,24,12,72
complete,us2cd10o,obdhurzz,3,punish,real,0,0,0,,0,0,0,0,,0,0,24,1.6,1.6,1.1,2.7,32,32,0,1,20,2,1,2,5,4,2,24,12,72
complete,mid6rdjc,obdhurzz,1,punish,real,10,,0,0,0,0,,0,0,0,20,10,1,1,1.1,2.0999999,20,20,0,1,22,2,4,1,7,4,0,20,10,70
complete,zcuydk93,obdhurzz,2,punish,real,10,0,,-3,-3,0,0,,-10,-10,30,10,1,.85000002,1.1,1.95,20,17,0,2,33,2,2,2,7,2,1,20,10,70
complete,xaiom3dk,obdhurzz,3,punish,real,0,0,0,,0,-3,0,0,,0,0,20,1.5,1.05,1.1,2.1500001,30,21,-9,2,20,2,1,2,8,2,0,20,10,70
complete,sq5zpnrn,obdhurzz,1,punish,hypothetical,10,,0,0,0,-2,,0,0,0,20,20,1.25,.94999999,1.1,1.1,25,19,-6,2,24,2,2,2,7,2,1,30,15,75
